00:24:42.822555 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2185132077:2185132136, ack 1026504673, win 502, options [nop,nop,TS val 3545655208 ecr 2573985033], length 59
00:24:42.856925 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985167 ecr 3545655242], length 123

00:24:42.856948 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655242 ecr 2573985167], length 0

00:24:42.863106 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3352871542:3352871601, ack 2555284305, win 502, options [nop,nop,TS val 3545655249 ecr 2573985072], length 59

00:24:42.863244 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985174 ecr 3545655249], length 123

00:24:42.863268 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655249 ecr 2573985174], length 0

00:24:42.866540 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3602597432:3602597491, ack 3408834815, win 502, options [nop,nop,TS val 3545655252 ecr 2573985077], length 59

00:24:42.866647 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985177 ecr 3545655252], length 123

00:24:42.866669 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655252 ecr 2573985177], length 0

00:24:42.922837 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655308 ecr 2573985133], length 59

00:24:42.923052 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985233 ecr 3545655308], length 123

00:24:42.923079 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655309 ecr 2573985233], length 0

00:24:42.927212 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655313 ecr 2573985138], length 59

00:24:42.927375 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985238 ecr 3545655313], length 123

00:24:42.927397 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655313 ecr 2573985238], length 0

00:24:42.932535 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655318 ecr 2573985143], length 59

00:24:42.932629 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985243 ecr 3545655318], length 123

00:24:42.932641 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655318 ecr 2573985243], length 0

00:24:42.937767 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655323 ecr 2573985148], length 59

00:24:42.937939 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985248 ecr 3545655323], length 123

00:24:42.937961 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655323 ecr 2573985248], length 0

00:24:42.942172 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655328 ecr 2573985152], length 59

00:24:42.942343 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985253 ecr 3545655328], length 123

00:24:42.942365 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655328 ecr 2573985253], length 0

00:24:42.947493 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655333 ecr 2573985159], length 59

00:24:42.947596 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985258 ecr 3545655333], length 123

00:24:42.947618 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655333 ecr 2573985258], length 0

00:24:42.952757 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655338 ecr 2573985163], length 59

00:24:42.953151 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985263 ecr 3545655338], length 123

00:24:42.953177 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655339 ecr 2573985263], length 0

00:24:42.956315 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655342 ecr 2573985167], length 59

00:24:42.956444 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985267 ecr 3545655342], length 123

00:24:42.956467 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655342 ecr 2573985267], length 0

00:24:42.962607 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655348 ecr 2573985174], length 59

00:24:42.963027 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985273 ecr 3545655348], length 123

00:24:42.963050 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655349 ecr 2573985273], length 0

00:24:42.966192 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3545655352 ecr 2573985177], length 59

00:24:42.966358 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2573985277 ecr 3545655352], length 123

00:24:42.966381 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3545655352 ecr 2573985277], length 0

00:24:43.022524 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655408 ecr 2573985233], length 59

00:24:43.022683 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985333 ecr 3545655408], length 123

00:24:43.022706 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655408 ecr 2573985333], length 0

00:24:43.027816 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655413 ecr 2573985238], length 59

00:24:43.028016 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985338 ecr 3545655413], length 123

00:24:43.028039 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655413 ecr 2573985338], length 0

00:24:43.032243 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655418 ecr 2573985243], length 59

00:24:43.032338 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985343 ecr 3545655418], length 123

00:24:43.032349 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655418 ecr 2573985343], length 0

00:24:43.038482 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655424 ecr 2573985248], length 59

00:24:43.038596 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985349 ecr 3545655424], length 123

00:24:43.038621 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655424 ecr 2573985349], length 0

00:24:43.042765 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655428 ecr 2573985253], length 59

00:24:43.042854 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985353 ecr 3545655428], length 123

00:24:43.042877 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655428 ecr 2573985353], length 0

00:24:43.047996 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655433 ecr 2573985258], length 59

00:24:43.048084 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985358 ecr 3545655433], length 123

00:24:43.048107 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655434 ecr 2573985358], length 0

00:24:43.052255 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655438 ecr 2573985263], length 59

00:24:43.052374 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985363 ecr 3545655438], length 123

00:24:43.052400 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655438 ecr 2573985363], length 0

00:24:43.056576 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655442 ecr 2573985267], length 59

00:24:43.056677 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985367 ecr 3545655442], length 123

00:24:43.056703 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655442 ecr 2573985367], length 0

00:24:43.062963 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655448 ecr 2573985273], length 59

00:24:43.063278 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985373 ecr 3545655448], length 123

00:24:43.063304 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655449 ecr 2573985373], length 0

00:24:43.066572 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 118:177, ack 247, win 502, options [nop,nop,TS val 3545655452 ecr 2573985277], length 59

00:24:43.066745 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 247:370, ack 177, win 509, options [nop,nop,TS val 2573985377 ecr 3545655452], length 123

00:24:43.066768 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 370, win 502, options [nop,nop,TS val 3545655452 ecr 2573985377], length 0

00:24:43.123053 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655508 ecr 2573985333], length 59

00:24:43.123364 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985434 ecr 3545655508], length 123

00:24:43.123388 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655509 ecr 2573985434], length 0

00:24:43.127540 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655513 ecr 2573985338], length 59

00:24:43.127967 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985438 ecr 3545655513], length 123

00:24:43.127980 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655513 ecr 2573985438], length 0

00:24:43.132096 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655518 ecr 2573985343], length 59

00:24:43.132509 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985443 ecr 3545655518], length 123

00:24:43.132520 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655518 ecr 2573985443], length 0

00:24:43.137653 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655523 ecr 2573985349], length 59

00:24:43.138072 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985448 ecr 3545655523], length 123

00:24:43.138095 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655524 ecr 2573985448], length 0

00:24:43.142411 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655528 ecr 2573985353], length 59

00:24:43.142720 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985453 ecr 3545655528], length 123

00:24:43.142742 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655528 ecr 2573985453], length 0

00:24:43.147870 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655533 ecr 2573985358], length 59

00:24:43.148221 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985458 ecr 3545655533], length 123

00:24:43.148243 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655534 ecr 2573985458], length 0

00:24:43.152369 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655538 ecr 2573985363], length 59

00:24:43.152590 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985463 ecr 3545655538], length 123

00:24:43.152613 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655538 ecr 2573985463], length 0

00:24:43.156754 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655542 ecr 2573985367], length 59

00:24:43.157199 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985467 ecr 3545655542], length 123

00:24:43.157222 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655543 ecr 2573985467], length 0

00:24:43.162486 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655548 ecr 2573985373], length 59

00:24:43.162800 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985473 ecr 3545655548], length 123

00:24:43.162823 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655548 ecr 2573985473], length 0

00:24:43.166966 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 177:236, ack 370, win 502, options [nop,nop,TS val 3545655552 ecr 2573985377], length 59

00:24:43.167316 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 370:493, ack 236, win 509, options [nop,nop,TS val 2573985478 ecr 3545655552], length 123

00:24:43.167338 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 493, win 502, options [nop,nop,TS val 3545655553 ecr 2573985478], length 0

00:24:43.222609 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655608 ecr 2573985434], length 59

00:24:43.222930 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985533 ecr 3545655608], length 123

00:24:43.222953 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655608 ecr 2573985533], length 0

00:24:43.228175 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655614 ecr 2573985438], length 59

00:24:43.228583 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985539 ecr 3545655614], length 123

00:24:43.228596 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655614 ecr 2573985539], length 0

00:24:43.231698 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655617 ecr 2573985443], length 59

00:24:43.232002 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985542 ecr 3545655617], length 123

00:24:43.232014 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655617 ecr 2573985542], length 0

00:24:43.237138 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655623 ecr 2573985448], length 59

00:24:43.237352 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985548 ecr 3545655623], length 123

00:24:43.237375 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655623 ecr 2573985548], length 0

00:24:43.242596 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655628 ecr 2573985453], length 59

00:24:43.242921 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985553 ecr 3545655628], length 123

00:24:43.242943 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655628 ecr 2573985553], length 0

00:24:43.248046 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 236:295, ack 493, win 502, options [nop,nop,TS val 3545655634 ecr 2573985458], length 59

00:24:43.248300 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 493:616, ack 295, win 509, options [nop,nop,TS val 2573985559 ecr 3545655634], length 123

00:24:43.248323 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 616, win 502, options [nop,nop,TS val 3545655634 ecr 2573985559], length 0

