18:48:47.547138 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3259805872, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547148 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3219918883, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547147 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [S], seq 4190752465, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547209 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39950: Flags [S.], seq 3992707473, ack 4190752466, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547242 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547251 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39956: Flags [S.], seq 1055433407, ack 3219918884, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547253 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39948: Flags [S.], seq 671683761, ack 3259805873, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547283 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547286 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547287 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 59
18:48:47.978025 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39562: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300363], length 123

18:48:47.978045 IP amd256.utah.cloudlab.us.39562 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300363 ecr 2726630289], length 0

18:48:47.978051 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39590: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300363], length 123

18:48:47.978073 IP amd256.utah.cloudlab.us.39590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300364 ecr 2726630289], length 0

18:48:47.978105 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39574: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300363], length 123

18:48:47.978128 IP amd256.utah.cloudlab.us.39574 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300364 ecr 2726630289], length 0

18:48:47.978266 IP amd256.utah.cloudlab.us.39634 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2121582079:2121582138, ack 2756872047, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978416 IP amd256.utah.cloudlab.us.39618 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3829138274:3829138333, ack 485433050, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978504 IP amd256.utah.cloudlab.us.39624 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 707392835:707392894, ack 2230211655, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978532 IP amd256.utah.cloudlab.us.39682 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3514072477:3514072536, ack 3739961724, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978550 IP amd256.utah.cloudlab.us.39658 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3782993640:3782993699, ack 956043316, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978559 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39634: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300364], length 123

18:48:47.978567 IP amd256.utah.cloudlab.us.39666 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3861507197:3861507256, ack 3649668833, win 502, options [nop,nop,TS val 3698300364 ecr 2726629809], length 59

18:48:47.978581 IP amd256.utah.cloudlab.us.39634 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300364 ecr 2726630289], length 0

18:48:47.978656 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39658: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300364], length 123

18:48:47.978671 IP amd256.utah.cloudlab.us.39658 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300364 ecr 2726630289], length 0

18:48:47.979077 IP amd256.utah.cloudlab.us.39700 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1162699000:1162699059, ack 3530280895, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979088 IP amd256.utah.cloudlab.us.39706 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3281049410:3281049469, ack 3058503114, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979100 IP amd256.utah.cloudlab.us.39686 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1409755709:1409755768, ack 1016845832, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979515 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39686: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979523 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39682: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300364], length 123

18:48:47.979523 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39666: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300364], length 123

18:48:47.979524 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39624: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300364], length 123

18:48:47.979525 IP amd256.utah.cloudlab.us.39686 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979525 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39618: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630289 ecr 3698300364], length 123

18:48:47.979530 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39706: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979530 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39700: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979534 IP amd256.utah.cloudlab.us.39714 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1928488018:1928488077, ack 3877076837, win 502, options [nop,nop,TS val 3698300365 ecr 2726629810], length 59

18:48:47.979537 IP amd256.utah.cloudlab.us.39682 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630289], length 0

18:48:47.979546 IP amd256.utah.cloudlab.us.39624 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630289], length 0

18:48:47.979548 IP amd256.utah.cloudlab.us.39666 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979548 IP amd256.utah.cloudlab.us.39618 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630289], length 0

18:48:47.979555 IP amd256.utah.cloudlab.us.39710 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1945616319:1945616378, ack 1202120695, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979561 IP amd256.utah.cloudlab.us.39606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2827775968:2827776027, ack 952728904, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979563 IP amd256.utah.cloudlab.us.39706 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979570 IP amd256.utah.cloudlab.us.39644 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3658823048:3658823107, ack 185675348, win 502, options [nop,nop,TS val 3698300365 ecr 2726629809], length 59

18:48:47.979586 IP amd256.utah.cloudlab.us.39700 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979714 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39710: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979728 IP amd256.utah.cloudlab.us.39710 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979738 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39644: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979760 IP amd256.utah.cloudlab.us.39644 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979775 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39714: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979794 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39606: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630290 ecr 3698300365], length 123

18:48:47.979797 IP amd256.utah.cloudlab.us.39714 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.979816 IP amd256.utah.cloudlab.us.39606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300365 ecr 2726630290], length 0

18:48:47.981159 IP amd256.utah.cloudlab.us.39716 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 238884007:238884066, ack 4016400689, win 502, options [nop,nop,TS val 3698300367 ecr 2726629812], length 59

18:48:47.981330 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39716: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630292 ecr 3698300367], length 123

18:48:47.981343 IP amd256.utah.cloudlab.us.39716 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300367 ecr 2726630292], length 0

18:48:47.982243 IP amd256.utah.cloudlab.us.39718 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2755852771:2755852830, ack 1617803435, win 502, options [nop,nop,TS val 3698300368 ecr 2726629812], length 59

18:48:47.982347 IP amd256.utah.cloudlab.us.39722 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 504740545:504740604, ack 1654070002, win 502, options [nop,nop,TS val 3698300368 ecr 2726629812], length 59

18:48:47.982384 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39718: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630293 ecr 3698300368], length 123

18:48:47.982405 IP amd256.utah.cloudlab.us.39718 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300368 ecr 2726630293], length 0

18:48:47.982454 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39722: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630293 ecr 3698300368], length 123

18:48:47.982467 IP amd256.utah.cloudlab.us.39722 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300368 ecr 2726630293], length 0

18:48:47.982631 IP amd256.utah.cloudlab.us.39764 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3102399686:3102399745, ack 3274064702, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982683 IP amd256.utah.cloudlab.us.39742 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2363395398:2363395457, ack 1636924241, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982683 IP amd256.utah.cloudlab.us.39770 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4249176567:4249176626, ack 1551038832, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982700 IP amd256.utah.cloudlab.us.39748 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2601470166:2601470225, ack 1020941228, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982808 IP amd256.utah.cloudlab.us.39784 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1268187343:1268187402, ack 3159072598, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982898 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39742: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.982899 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39748: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.982918 IP amd256.utah.cloudlab.us.39742 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300368 ecr 2726630294], length 0

18:48:47.982921 IP amd256.utah.cloudlab.us.39748 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300368 ecr 2726630294], length 0

18:48:47.982933 IP amd256.utah.cloudlab.us.39790 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1424844041:1424844100, ack 151267313, win 502, options [nop,nop,TS val 3698300368 ecr 2726629813], length 59

18:48:47.982976 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39784: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.982992 IP amd256.utah.cloudlab.us.39784 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300368 ecr 2726630294], length 0

18:48:47.983117 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39764: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.983117 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39770: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.983139 IP amd256.utah.cloudlab.us.39764 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983140 IP amd256.utah.cloudlab.us.39770 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983145 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39790: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300368], length 123

18:48:47.983168 IP amd256.utah.cloudlab.us.39790 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983182 IP amd256.utah.cloudlab.us.39736 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3062824315:3062824374, ack 561783031, win 502, options [nop,nop,TS val 3698300369 ecr 2726629813], length 59

18:48:47.983308 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39736: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300369], length 123

18:48:47.983330 IP amd256.utah.cloudlab.us.39736 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983625 IP amd256.utah.cloudlab.us.39808 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2297508942:2297509001, ack 2589868093, win 502, options [nop,nop,TS val 3698300369 ecr 2726629814], length 59

18:48:47.983657 IP amd256.utah.cloudlab.us.39812 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 524894490:524894549, ack 4169655647, win 502, options [nop,nop,TS val 3698300369 ecr 2726629814], length 59

18:48:47.983696 IP amd256.utah.cloudlab.us.39794 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2221756949:2221757008, ack 2807411202, win 502, options [nop,nop,TS val 3698300369 ecr 2726629814], length 59

18:48:47.983738 IP amd256.utah.cloudlab.us.39810 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2472675378:2472675437, ack 2702918453, win 502, options [nop,nop,TS val 3698300369 ecr 2726629814], length 59

18:48:47.983752 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39808: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300369], length 123

18:48:47.983771 IP amd256.utah.cloudlab.us.39808 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983801 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39794: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300369], length 123

18:48:47.983817 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39810: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630294 ecr 3698300369], length 123

18:48:47.983824 IP amd256.utah.cloudlab.us.39794 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983832 IP amd256.utah.cloudlab.us.39810 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630294], length 0

18:48:47.983846 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39812: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630295 ecr 3698300369], length 123

18:48:47.983856 IP amd256.utah.cloudlab.us.39820 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4266631694:4266631753, ack 4822249, win 502, options [nop,nop,TS val 3698300369 ecr 2726629815], length 59

18:48:47.983860 IP amd256.utah.cloudlab.us.39812 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630295], length 0

18:48:47.984019 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39820: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630295 ecr 3698300369], length 123

18:48:47.984030 IP amd256.utah.cloudlab.us.39820 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300369 ecr 2726630295], length 0

18:48:47.984910 IP amd256.utah.cloudlab.us.39828 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3085443903:3085443962, ack 2792668399, win 502, options [nop,nop,TS val 3698300370 ecr 2726629815], length 59

18:48:47.985156 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39828: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630296 ecr 3698300370], length 123

18:48:47.985168 IP amd256.utah.cloudlab.us.39828 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300371 ecr 2726630296], length 0

18:48:47.987465 IP amd256.utah.cloudlab.us.39840 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1819792059:1819792118, ack 3537365451, win 502, options [nop,nop,TS val 3698300373 ecr 2726629818], length 59

18:48:47.987489 IP amd256.utah.cloudlab.us.39860 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1910537791:1910537850, ack 3377559495, win 502, options [nop,nop,TS val 3698300373 ecr 2726629818], length 59

18:48:47.987513 IP amd256.utah.cloudlab.us.39846 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3371104224:3371104283, ack 2742823300, win 502, options [nop,nop,TS val 3698300373 ecr 2726629818], length 59

18:48:47.987572 IP amd256.utah.cloudlab.us.39858 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1217833735:1217833794, ack 1366448000, win 502, options [nop,nop,TS val 3698300373 ecr 2726629818], length 59

18:48:47.987659 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39860: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630298 ecr 3698300373], length 123

18:48:47.987681 IP amd256.utah.cloudlab.us.39860 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300373 ecr 2726630298], length 0

18:48:47.987687 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39840: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630298 ecr 3698300373], length 123

18:48:47.987713 IP amd256.utah.cloudlab.us.39840 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698300373 ecr 2726630298], length 0

18:48:47.987717 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39846: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726630298 ecr 3698300373], length 123

