18:44:27.876614 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1639087334:1639087393, ack 588185414, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59
18:44:27.880546 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40690: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370191 ecr 3698040266], length 123

18:44:27.880571 IP amd256.utah.cloudlab.us.40690 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040266 ecr 2726370191], length 0

18:44:27.880659 IP amd256.utah.cloudlab.us.40700 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 796636582:796636641, ack 1588570614, win 502, options [nop,nop,TS val 3698040266 ecr 2726369711], length 59

18:44:27.880663 IP amd256.utah.cloudlab.us.40702 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1477479079:1477479138, ack 688335902, win 502, options [nop,nop,TS val 3698040266 ecr 2726369711], length 59

18:44:27.880831 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40702: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370192 ecr 3698040266], length 123

18:44:27.880843 IP amd256.utah.cloudlab.us.40702 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040266 ecr 2726370192], length 0

18:44:27.880866 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40700: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370192 ecr 3698040266], length 123

18:44:27.880878 IP amd256.utah.cloudlab.us.40700 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040266 ecr 2726370192], length 0

18:44:27.881497 IP amd256.utah.cloudlab.us.40716 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1256883411:1256883470, ack 1511570409, win 502, options [nop,nop,TS val 3698040267 ecr 2726369711], length 59

18:44:27.881787 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40716: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370192 ecr 3698040267], length 123

18:44:27.881809 IP amd256.utah.cloudlab.us.40716 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040267 ecr 2726370192], length 0

18:44:27.882301 IP amd256.utah.cloudlab.us.40746 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 662308881:662308940, ack 70123256, win 502, options [nop,nop,TS val 3698040268 ecr 2726369713], length 59

18:44:27.882302 IP amd256.utah.cloudlab.us.40734 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2272955226:2272955285, ack 2877925498, win 502, options [nop,nop,TS val 3698040268 ecr 2726369713], length 59

18:44:27.882309 IP amd256.utah.cloudlab.us.40740 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4182843661:4182843720, ack 2621698560, win 502, options [nop,nop,TS val 3698040268 ecr 2726369713], length 59

18:44:27.882434 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40746: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370193 ecr 3698040268], length 123

18:44:27.882439 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40734: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370193 ecr 3698040268], length 123

18:44:27.882462 IP amd256.utah.cloudlab.us.40734 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040268 ecr 2726370193], length 0

18:44:27.882462 IP amd256.utah.cloudlab.us.40746 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040268 ecr 2726370193], length 0

18:44:27.882495 IP amd256.utah.cloudlab.us.40728 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 286665811:286665870, ack 814238893, win 502, options [nop,nop,TS val 3698040268 ecr 2726369713], length 59

18:44:27.882505 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40740: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370193 ecr 3698040268], length 123

18:44:27.882530 IP amd256.utah.cloudlab.us.40740 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040268 ecr 2726370193], length 0

18:44:27.882642 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40728: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370193 ecr 3698040268], length 123

18:44:27.882664 IP amd256.utah.cloudlab.us.40728 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040268 ecr 2726370193], length 0

18:44:27.886691 IP amd256.utah.cloudlab.us.40798 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 370222388:370222447, ack 169545397, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886692 IP amd256.utah.cloudlab.us.40794 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4245473280:4245473339, ack 2079054440, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886738 IP amd256.utah.cloudlab.us.40752 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 51114451:51114510, ack 1346441876, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886800 IP amd256.utah.cloudlab.us.40784 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2234074249:2234074308, ack 2293393820, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886950 IP amd256.utah.cloudlab.us.40766 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2179505496:2179505555, ack 2416660720, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886982 IP amd256.utah.cloudlab.us.40754 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1801204340:1801204399, ack 3950989228, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.886993 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40784: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887015 IP amd256.utah.cloudlab.us.40784 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040272 ecr 2726370198], length 0

18:44:27.887018 IP amd256.utah.cloudlab.us.40764 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2071734830:2071734889, ack 820319703, win 502, options [nop,nop,TS val 3698040272 ecr 2726369717], length 59

18:44:27.887024 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40798: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887048 IP amd256.utah.cloudlab.us.40798 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040272 ecr 2726370198], length 0

18:44:27.887159 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40794: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887159 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40766: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887162 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40752: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887166 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40754: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887183 IP amd256.utah.cloudlab.us.40794 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.887184 IP amd256.utah.cloudlab.us.40766 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.887188 IP amd256.utah.cloudlab.us.40752 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.887190 IP amd256.utah.cloudlab.us.40754 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.887269 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40764: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040272], length 123

18:44:27.887294 IP amd256.utah.cloudlab.us.40764 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.887641 IP amd256.utah.cloudlab.us.40800 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3073504407:3073504466, ack 2763478698, win 502, options [nop,nop,TS val 3698040273 ecr 2726369718], length 59

18:44:27.887887 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40800: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370198 ecr 3698040273], length 123

18:44:27.887910 IP amd256.utah.cloudlab.us.40800 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040273 ecr 2726370198], length 0

18:44:27.890425 IP amd256.utah.cloudlab.us.40816 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2833817268:2833817327, ack 223233276, win 502, options [nop,nop,TS val 3698040276 ecr 2726369722], length 59

18:44:27.890425 IP amd256.utah.cloudlab.us.40828 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4054468382:4054468441, ack 325118535, win 502, options [nop,nop,TS val 3698040276 ecr 2726369721], length 59

18:44:27.890434 IP amd256.utah.cloudlab.us.40812 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2893764865:2893764924, ack 1811707968, win 502, options [nop,nop,TS val 3698040276 ecr 2726369721], length 59

18:44:27.890512 IP amd256.utah.cloudlab.us.40824 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2064169690:2064169749, ack 2805859784, win 502, options [nop,nop,TS val 3698040276 ecr 2726369722], length 59

18:44:27.890587 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40828: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370201 ecr 3698040276], length 123

18:44:27.890608 IP amd256.utah.cloudlab.us.40828 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040276 ecr 2726370201], length 0

18:44:27.890609 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40816: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370201 ecr 3698040276], length 123

18:44:27.890620 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40812: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370201 ecr 3698040276], length 123

18:44:27.890630 IP amd256.utah.cloudlab.us.40816 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040276 ecr 2726370201], length 0

18:44:27.890643 IP amd256.utah.cloudlab.us.40812 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040276 ecr 2726370201], length 0

18:44:27.890728 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40824: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370201 ecr 3698040276], length 123

18:44:27.890750 IP amd256.utah.cloudlab.us.40824 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040276 ecr 2726370201], length 0

18:44:27.892055 IP amd256.utah.cloudlab.us.40840 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3907829092:3907829151, ack 1275617682, win 502, options [nop,nop,TS val 3698040278 ecr 2726369722], length 59

18:44:27.892199 IP amd256.utah.cloudlab.us.40866 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2876531102:2876531161, ack 2433806933, win 502, options [nop,nop,TS val 3698040278 ecr 2726369723], length 59

18:44:27.892206 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40840: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370203 ecr 3698040278], length 123

18:44:27.892216 IP amd256.utah.cloudlab.us.40850 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 641980598:641980657, ack 1210931092, win 502, options [nop,nop,TS val 3698040278 ecr 2726369722], length 59

18:44:27.892228 IP amd256.utah.cloudlab.us.40840 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040278 ecr 2726370203], length 0

18:44:27.892305 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40850: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370203 ecr 3698040278], length 123

18:44:27.892317 IP amd256.utah.cloudlab.us.40850 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040278 ecr 2726370203], length 0

18:44:27.892376 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40866: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370203 ecr 3698040278], length 123

18:44:27.892398 IP amd256.utah.cloudlab.us.40866 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040278 ecr 2726370203], length 0

18:44:27.892468 IP amd256.utah.cloudlab.us.40860 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 917350360:917350419, ack 863840532, win 502, options [nop,nop,TS val 3698040278 ecr 2726369722], length 59

18:44:27.892715 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40860: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370203 ecr 3698040278], length 123

18:44:27.892736 IP amd256.utah.cloudlab.us.40860 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040278 ecr 2726370203], length 0

18:44:27.895770 IP amd256.utah.cloudlab.us.40882 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1388362739:1388362798, ack 915764423, win 502, options [nop,nop,TS val 3698040281 ecr 2726369726], length 59

18:44:27.896067 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40882: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370207 ecr 3698040281], length 123

18:44:27.896089 IP amd256.utah.cloudlab.us.40882 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040282 ecr 2726370207], length 0

18:44:27.896723 IP amd256.utah.cloudlab.us.40892 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3084451612:3084451671, ack 2711460086, win 502, options [nop,nop,TS val 3698040282 ecr 2726369727], length 59

18:44:27.896732 IP amd256.utah.cloudlab.us.40912 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2076737402:2076737461, ack 3254750659, win 502, options [nop,nop,TS val 3698040282 ecr 2726369727], length 59

18:44:27.896864 IP amd256.utah.cloudlab.us.40900 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 302323659:302323718, ack 3374346176, win 502, options [nop,nop,TS val 3698040282 ecr 2726369727], length 59

18:44:27.897030 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40900: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040282], length 123

18:44:27.897047 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40912: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040282], length 123

18:44:27.897052 IP amd256.utah.cloudlab.us.40900 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897053 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40892: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040282], length 123

18:44:27.897060 IP amd256.utah.cloudlab.us.40912 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897066 IP amd256.utah.cloudlab.us.40892 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897403 IP amd256.utah.cloudlab.us.40928 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 501618213:501618272, ack 395827918, win 502, options [nop,nop,TS val 3698040283 ecr 2726369728], length 59

18:44:27.897454 IP amd256.utah.cloudlab.us.40946 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4227436442:4227436501, ack 779754090, win 502, options [nop,nop,TS val 3698040283 ecr 2726369728], length 59

18:44:27.897526 IP amd256.utah.cloudlab.us.40960 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3430788887:3430788946, ack 237274155, win 502, options [nop,nop,TS val 3698040283 ecr 2726369728], length 59

18:44:27.897546 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40928: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040283], length 123

18:44:27.897568 IP amd256.utah.cloudlab.us.40928 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897572 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40946: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040283], length 123

18:44:27.897593 IP amd256.utah.cloudlab.us.40946 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897688 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40960: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370208 ecr 3698040283], length 123

18:44:27.897710 IP amd256.utah.cloudlab.us.40960 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040283 ecr 2726370208], length 0

18:44:27.897844 IP amd256.utah.cloudlab.us.40934 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2264029542:2264029601, ack 1944754654, win 502, options [nop,nop,TS val 3698040283 ecr 2726369728], length 59

18:44:27.898096 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40934: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370209 ecr 3698040283], length 123

18:44:27.898109 IP amd256.utah.cloudlab.us.40934 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040284 ecr 2726370209], length 0

18:44:27.900192 IP amd256.utah.cloudlab.us.40970 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1374069948:1374070007, ack 3238631129, win 502, options [nop,nop,TS val 3698040286 ecr 2726369731], length 59

18:44:27.900331 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40970: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370211 ecr 3698040286], length 123

18:44:27.900342 IP amd256.utah.cloudlab.us.40970 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040286 ecr 2726370211], length 0

18:44:27.901222 IP amd256.utah.cloudlab.us.40990 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 705655924:705655983, ack 426939138, win 502, options [nop,nop,TS val 3698040287 ecr 2726369731], length 59

18:44:27.901225 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 525576606:525576665, ack 2585790558, win 502, options [nop,nop,TS val 3698040287 ecr 2726369732], length 59

18:44:27.901225 IP amd256.utah.cloudlab.us.41036 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3640173675:3640173734, ack 4162433689, win 502, options [nop,nop,TS val 3698040287 ecr 2726369732], length 59

18:44:27.901228 IP amd256.utah.cloudlab.us.40974 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1656791708:1656791767, ack 493837169, win 502, options [nop,nop,TS val 3698040287 ecr 2726369731], length 59

18:44:27.901452 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41036: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370212 ecr 3698040287], length 123

18:44:27.901453 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40974: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370212 ecr 3698040287], length 123

18:44:27.901461 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41006: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370212 ecr 3698040287], length 123

18:44:27.901464 IP amd256.utah.cloudlab.us.40974 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040287 ecr 2726370212], length 0

18:44:27.901465 IP amd256.utah.cloudlab.us.41036 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040287 ecr 2726370212], length 0

18:44:27.901464 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40990: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370212 ecr 3698040287], length 123

18:44:27.901485 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040287 ecr 2726370212], length 0

18:44:27.901489 IP amd256.utah.cloudlab.us.40990 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040287 ecr 2726370212], length 0

18:44:27.901740 IP amd256.utah.cloudlab.us.41020 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4251890483:4251890542, ack 1183417256, win 502, options [nop,nop,TS val 3698040287 ecr 2726369732], length 59

